calc label enthalpy
e2ts_E_A_D_E_B_A_e2ts_E_E_D_E_B_A e2ts_E_A_D_E_B_A_e2ts_E_E_D_E_B_A -743.98541580
e2ts_D_E_E_A_C_A_e2ts_D_E_E_B_C_A e2ts_D_E_E_A_C_A_e2ts_D_E_E_B_C_A -3006.12801537
e2ts_E_D_E_C_A_A_e2ts_B_D_E_C_A_A e2ts_E_D_E_C_A_A_e2ts_B_D_E_C_A_A -569.77623795
e2ts_E_D_D_E_C_B_e2ts_E_D_C_E_C_B e2ts_E_D_D_E_C_B_e2ts_E_D_C_E_C_B -2993.24487253
e2ts_B_A_A_A_A_B_e2ts_B_A_A_C_A_B e2ts_B_A_A_A_A_B_e2ts_B_A_A_C_A_B -574.57350300
e2ts_B_A_E_D_C_C_e2ts_B_E_E_D_C_C e2ts_B_A_E_D_C_C_e2ts_B_E_E_D_C_C -3465.35548556
e2ts_B_C_D_A_A_A_e2ts_B_B_D_A_A_A e2ts_B_C_D_A_A_A_e2ts_B_B_D_A_A_A -626.61040193
e2ts_D_B_E_D_B_B_e2ts_C_B_E_D_B_B e2ts_D_B_E_D_B_B_e2ts_C_B_E_D_B_B -1028.95805717
e2ts_B_D_A_E_C_A_e2ts_C_D_A_E_C_A e2ts_B_D_A_E_C_A_e2ts_C_D_A_E_C_A -2838.80801260
e2ts_C_E_D_C_C_B_e2ts_C_E_D_C_A_B e2ts_C_E_D_C_C_B_e2ts_C_E_D_C_A_B -556.89624822
e2ts_D_A_E_D_C_C_e2ts_D_B_E_D_C_C e2ts_D_A_E_D_C_C_e2ts_D_B_E_D_C_C -3449.29798449
e2ts_E_C_E_C_B_B_e2ts_E_C_D_C_B_B e2ts_E_C_E_C_B_B_e2ts_E_C_D_C_B_B -916.91492114
e2ts_E_C_C_A_C_C_e2ts_E_C_E_A_C_C e2ts_E_C_C_A_C_C_e2ts_E_C_E_A_C_C -3314.09155280
e2ts_A_E_D_E_B_B_e2ts_A_E_D_E_B_C e2ts_A_E_D_E_B_B_e2ts_A_E_D_E_B_C -1147.96673978
e2ts_C_C_E_E_C_C_e2ts_C_C_E_C_C_C e2ts_C_C_E_E_C_C_e2ts_C_C_E_C_C_C -3443.03665564
e2ts_D_C_E_E_C_B_e2ts_D_C_E_E_C_D e2ts_D_C_E_E_C_B_e2ts_D_C_E_E_C_D -5466.46998328
e2ts_E_E_B_E_A_A_e2ts_E_E_B_E_C_A e2ts_E_E_B_E_A_A_e2ts_E_E_B_E_C_A -3022.18606634
e2ts_B_A_E_D_C_B_e2ts_B_A_E_C_C_B e2ts_B_A_E_D_C_B_e2ts_B_A_E_C_C_B -3102.99835528
e2ts_D_E_E_E_A_C_e2ts_A_E_E_E_A_C e2ts_D_E_E_E_A_C_e2ts_A_E_E_E_A_C -803.96523413
e2ts_D_C_E_C_C_C_e2ts_D_D_E_C_C_C e2ts_D_C_E_C_C_C_e2ts_D_D_E_C_C_C -3337.22739985
e2ts_E_C_E_E_B_A_e2ts_E_C_E_E_B_D e2ts_E_C_E_E_B_A_e2ts_E_C_E_E_B_D -3369.30806223
e2ts_D_D_D_D_C_C_e2ts_D_B_D_D_C_C e2ts_D_D_D_D_C_C_e2ts_D_B_D_D_C_C -3433.25872061
e2ts_D_E_B_A_B_B_e2ts_D_E_B_A_B_A e2ts_D_E_B_A_B_B_e2ts_D_E_B_A_B_A -837.71005680
e2ts_E_C_D_B_C_A_e2ts_E_C_D_D_C_A e2ts_E_C_D_B_C_A_e2ts_E_C_D_D_C_A -2878.01224922
e2ts_C_C_A_B_A_A_e2ts_C_C_B_B_A_A e2ts_C_C_A_B_A_A_e2ts_C_C_B_B_A_A -771.60660955
e2ts_E_C_E_C_B_A_e2ts_C_C_E_C_B_A e2ts_E_C_E_C_B_A_e2ts_C_C_E_C_B_A -870.60317443
