calc label enthalpy
sn2_D_D_E_E_A_B sn2_D_D_E_E_A_B -467.05276102
sn2_D_D_E_E_A_A sn2_D_D_E_E_A_A -367.85466991
sn2_D_D_E_D_C_B sn2_D_D_E_D_C_B -2924.24670530
sn2_D_D_E_D_B_B sn2_D_D_E_D_B_B -811.04451262
sn2_D_D_E_D_A_B sn2_D_D_E_D_A_B -451.00437448
sn2_D_D_E_C_C_B sn2_D_D_E_C_C_B -2977.15967201
sn2_D_D_E_C_B_D sn2_D_D_E_C_B_D -3337.19457970
sn2_D_D_E_C_B_C sn2_D_D_E_C_B_C -1223.99296685
sn2_D_D_E_C_A_D sn2_D_D_E_C_A_D -2977.15535116
sn2_D_D_E_C_A_C sn2_D_D_E_C_A_C -863.95515521
sn2_D_D_E_C_A_B sn2_D_D_E_C_A_B -503.92448310
sn2_D_D_E_B_B_A sn2_D_D_E_B_B_A -876.84181167
sn2_D_D_E_B_A_C sn2_D_D_E_B_A_C -976.05328854
sn2_D_D_E_A_C_B sn2_D_D_E_A_C_B -2885.07565833
sn2_D_D_E_A_B_C sn2_D_D_E_A_B_C -1131.91744804
sn2_D_D_E_A_B_A sn2_D_D_E_A_B_A -672.67034825
sn2_D_D_E_A_A_D sn2_D_D_E_A_A_D -2885.07169639
sn2_D_D_E_A_A_C sn2_D_D_E_A_A_C -771.86904410
sn2_D_D_E_A_A_A sn2_D_D_E_A_A_A -312.63395216
sn2_D_D_D_E_C_B sn2_D_D_D_E_C_B -2924.24736158
sn2_D_D_D_E_C_A sn2_D_D_D_E_C_A -2825.03827917
sn2_D_D_D_E_B_A sn2_D_D_D_E_B_A -711.83671450
sn2_D_D_D_E_A_D sn2_D_D_D_E_A_D -2924.25307925
sn2_D_D_D_E_A_C sn2_D_D_D_E_A_C -811.05078844
sn2_D_D_D_E_A_B sn2_D_D_D_E_A_B -451.00795668
sn2_D_D_D_D_A_C sn2_D_D_D_D_A_C -795.00587439
sn2_D_D_D_D_A_B sn2_D_D_D_D_A_B -434.96463316
sn2_D_D_D_C_C_B sn2_D_D_D_C_C_B -2961.12763003
sn2_D_D_D_C_B_B sn2_D_D_D_C_B_B -847.92593239
