calc label enthalpyR enthalpyP
sn2_D_D_D_B_C_A sn2_D_D_D_B_C_A -2973.29814633 -401.19240304
sn2_D_D_D_A_C_B sn2_D_D_D_A_C_B -2769.35566534 -296.14407874
sn2_D_D_D_A_B_D sn2_D_D_D_A_B_D -656.16079157 -2769.35567121
sn2_D_D_D_A_B_B sn2_D_D_D_A_B_B -656.16080164 -296.14408218
sn2_D_D_D_A_A_D sn2_D_D_D_A_A_D -296.14407588 -2769.35566847
sn2_D_D_D_A_A_C sn2_D_D_D_A_A_C -296.14407653 -656.16079938
sn2_D_D_C_E_C_D sn2_D_D_C_E_C_D -2877.47394206 -2877.47262765
sn2_D_D_C_E_C_C sn2_D_D_C_E_C_C -2877.47393469 -764.27806214
sn2_D_D_C_E_C_B sn2_D_D_C_E_C_B -2877.47394487 -404.26158377
sn2_D_D_C_E_B_C sn2_D_D_C_E_B_C -764.27904747 -764.27802809
sn2_D_D_C_E_B_B sn2_D_D_C_E_B_B -764.27905383 -404.26157171
sn2_D_D_C_E_A_B sn2_D_D_C_E_A_B -404.26249215 -404.26157248
sn2_D_D_C_D_C_C sn2_D_D_C_D_C_C -2861.43601626 -748.24105059
sn2_D_D_C_D_C_B sn2_D_D_C_D_C_B -2861.43603317 -388.22520392
sn2_D_D_C_D_B_C sn2_D_D_C_D_B_C -748.24123992 -748.24104928
sn2_D_D_C_D_B_B sn2_D_D_C_D_B_B -748.24125631 -388.22520240
sn2_D_D_C_D_A_C sn2_D_D_C_D_A_C -388.22512243 -748.24105861
sn2_D_D_C_D_A_B sn2_D_D_C_D_A_B -388.22512034 -388.22522039
sn2_D_D_C_D_A_A sn2_D_D_C_D_A_A -388.22511486 -289.11113510
sn2_D_D_C_C_B_C sn2_D_D_C_C_B_C -801.13710638 -801.13925193
sn2_D_D_C_C_B_B sn2_D_D_C_C_B_B -801.13710188 -441.12317250
sn2_D_D_C_C_B_A sn2_D_D_C_C_B_A -801.13609973 -342.01191289
