calc label energy
e2ts_E_A_E_D_A_A-e2ts_E_A_E_E_A_A e2ts_E_A_E_E_A_A -344.842601945463
e2ts_E_A_E_D_A_A-e2ts_E_A_E_A_A_A e2ts_E_A_E_A_A_A -289.601786731414
e2ts_E_A_E_D_A_A-e2ts_B_A_E_D_A_A e2ts_B_A_E_D_A_A -477.748690701552
e2ts_E_A_E_A_C_B-e2ts_E_D_E_A_C_B e2ts_E_D_E_A_C_B -2901.224847411023
e2ts_E_A_E_A_C_B-e2ts_E_C_E_A_C_B e2ts_E_C_E_A_C_B -2954.100182286215
e2ts_E_A_E_A_C_B-e2ts_E_A_E_E_C_B e2ts_E_A_E_E_C_B -2917.255710550695
e2ts_E_A_E_A_C_B-e2ts_E_A_E_D_C_B e2ts_E_A_E_D_C_B -2901.221537046581
e2ts_E_A_E_A_C_A-e2ts_E_A_E_D_C_A e2ts_E_A_E_D_C_A -2802.034470059271
e2ts_E_A_E_A_C_A-e2ts_E_A_C_A_C_A e2ts_E_A_C_A_C_A -2799.702201458298
e2ts_E_A_D_D_B_A-e2ts_C_A_D_D_B_A e2ts_C_A_D_D_B_A -709.657852231913
e2ts_E_A_D_D_A_A-e2ts_D_A_D_D_A_A e2ts_D_A_D_D_A_A -296.747621846659
e2ts_E_A_D_C_C_B-e2ts_E_A_D_E_C_B e2ts_E_A_D_E_C_B -2901.224740444276
e2ts_E_A_D_C_C_B e2ts_E_A_D_C_C_B -2938.100097065410
e2ts_E_A_D_C_B_A e2ts_E_A_D_C_B_A -725.712759895990
e2ts_E_A_D_A_C_B-e2ts_E_B_D_A_C_B e2ts_E_B_D_A_C_B -3050.159545090601
e2ts_E_A_D_A_C_A-e2ts_E_A_D_C_C_A e2ts_E_A_D_C_C_A -2838.907807661475
e2ts_E_A_D_A_B_B-e2ts_E_A_D_E_B_B e2ts_E_A_D_E_B_B -788.022901655185
e2ts_E_A_D_A_B_A e2ts_E_A_D_A_B_A -633.600346682093
e2ts_E_A_C_D_C_A-e2ts_E_C_C_D_C_A e2ts_E_C_C_D_C_A -2930.985796636123
e2ts_E_A_C_A_B_A e2ts_E_A_C_A_B_A -686.506940113668
e2ts_E_A_C_A_A_A-e2ts_E_A_C_D_A_A e2ts_E_A_C_D_A_A -365.695373874699
e2ts_E_A_C_A_A_A e2ts_E_A_C_A_A_A -326.492037893858
e2ts_E_A_B_D_A_A-e2ts_E_E_B_D_A_A e2ts_E_E_B_D_A_A -533.025896667078
e2ts_E_A_B_A_A_A-e2ts_E_A_B_E_A_A e2ts_E_A_B_E_A_A -493.810878254444
e2ts_E_A_A_E_C_B-e2ts_E_C_A_E_C_B e2ts_E_C_A_E_C_B -2954.105436684089
e2ts_E_A_A_E_C_B-e2ts_E_A_E_E_C_B e2ts_E_A_E_E_C_B -2917.246861460679
e2ts_E_A_A_E_C_B-e2ts_E_A_C_E_C_B e2ts_E_A_C_E_C_B -2954.124585224135
e2ts_E_A_A_E_C_A-e2ts_E_A_D_E_C_A e2ts_E_A_D_E_C_A -2802.039297030053
e2ts_E_A_A_E_C_A e2ts_E_A_A_E_C_A -2762.830535459666
e2ts_E_A_A_E_B_A-e2ts_E_A_D_E_B_A e2ts_E_A_D_E_B_A -688.838359070561
e2ts_E_A_A_D_C_B-e2ts_E_A_E_D_C_B e2ts_E_A_E_D_C_B -2901.222865894448
e2ts_E_A_A_D_C_B-e2ts_E_A_C_D_C_B e2ts_E_A_C_D_C_B -2938.098942797175
e2ts_E_A_A_D_C_A-e2ts_E_D_A_D_C_A e2ts_E_D_A_D_C_A -2786.013921555572
e2ts_E_A_A_D_C_A-e2ts_E_A_E_D_C_A e2ts_E_A_E_D_C_A -2802.036426559880
e2ts_E_A_A_D_A_A-e2ts_E_D_A_D_A_A e2ts_E_D_A_D_A_A -312.786009284882
e2ts_E_A_A_C_C_A-e2ts_E_A_E_C_C_A e2ts_E_A_E_C_C_A -2854.934575563494
e2ts_E_A_A_C_C_A e2ts_E_A_A_C_C_A -2799.703067548920
e2ts_E_A_A_C_B_A-e2ts_D_A_A_C_B_A e2ts_D_A_A_C_B_A -670.477606747546
e2ts_E_A_A_B_B_A-e2ts_E_C_A_B_B_A e2ts_E_C_A_B_B_A -890.666992235634
e2ts_E_A_A_B_B_A-e2ts_E_B_A_B_B_A e2ts_E_B_A_B_B_A -1002.759909594749
e2ts_E_A_A_A_C_B-e2ts_C_A_A_A_C_B e2ts_C_A_A_A_C_B -2843.634469372611
e2ts_E_A_A_A_C_B-e2ts_A_A_A_A_C_B e2ts_A_A_A_A_C_B -2751.547729266510
e2ts_E_A_A_A_C_A e2ts_E_A_A_A_C_A -2707.597612479013
e2ts_D_E_E_E_A_D-e2ts_D_E_E_E_A_C e2ts_D_E_E_E_A_C -843.253892647860
e2ts_D_E_E_E_A_D-e2ts_A_E_E_E_A_D e2ts_A_E_E_E_A_D -2917.242773835051
e2ts_D_E_E_E_A_D e2ts_D_E_E_E_A_D -2956.455105980115
e2ts_D_E_E_A_A_A-e2ts_D_E_E_D_A_A e2ts_D_E_E_D_A_A -368.017627277696
e2ts_D_E_E_A_A_A-e2ts_D_E_E_C_A_A e2ts_D_E_E_C_A_A -420.933628624717
e2ts_D_E_D_E_B_A-e2ts_D_E_D_E_B_B e2ts_D_E_D_E_B_B -827.229939222665
e2ts_D_E_D_E_B_A-e2ts_A_E_D_E_B_A e2ts_A_E_D_E_B_A -688.834287556712
e2ts_D_E_D_E_A_A-e2ts_D_E_D_D_A_A e2ts_D_E_D_D_A_A -351.988021342122
e2ts_D_E_D_E_A_A-e2ts_D_E_C_E_A_A e2ts_D_E_C_E_A_A -420.930911247007
e2ts_D_E_D_E_A_A-e2ts_D_C_D_E_A_A e2ts_D_C_D_E_A_A -404.870696123425
e2ts_D_E_D_E_A_A-e2ts_D_A_D_E_A_A e2ts_D_A_D_E_A_A -312.776436773018
e2ts_D_E_D_E_A_A-e2ts_C_E_D_E_A_A e2ts_C_E_D_E_A_A -420.898545858837
e2ts_D_E_D_E_A_A e2ts_D_E_D_E_A_A -368.015411433152
